x,y,z
2.366206715104923475e-01,-1.651632465924240400e-01,6.695201649245161590e-01
2.366866015580716132e-01,-1.632196996536524891e-01,6.695467543026063506e-01
2.367532988470971433e-01,-1.612763148299259097e-01,6.695733092848015211e-01
2.368207587435930406e-01,-1.593330908615290809e-01,6.695998301995987889e-01
2.368889766135830188e-01,-1.573900264887468370e-01,6.696263173754959386e-01
2.369579478230912917e-01,-1.554471204518639571e-01,6.696527711409905326e-01
2.370276677381413788e-01,-1.535043714911651369e-01,6.696791918245795783e-01
2.370981317247575770e-01,-1.515617783469352109e-01,6.697055797547608602e-01
2.371693351489636281e-01,-1.496193397594588748e-01,6.697319352600318298e-01
2.372412733767834681e-01,-1.476770544690209352e-01,6.697582586688894946e-01
2.373139417742410051e-01,-1.457349212159061991e-01,6.697845503098318609e-01
2.373873357073601753e-01,-1.437929387403993620e-01,6.698108105113562694e-01
2.374614505421648314e-01,-1.418511057827852306e-01,6.698370396019597273e-01
2.375362816446789926e-01,-1.399094210833485563e-01,6.698632379101400192e-01
2.376118243809265673e-01,-1.379678833823741457e-01,6.698894057643947075e-01
2.376880741169313804e-01,-1.360264914201466668e-01,6.699155434932207998e-01
2.377650262187174512e-01,-1.340852439369510374e-01,6.699416514251163024e-01
2.378426760523085493e-01,-1.321441396730718421e-01,6.699677298885780008e-01
2.379210189837288603e-01,-1.302031773687940541e-01,6.699937792121039015e-01
2.380000503790020150e-01,-1.282623557644022305e-01,6.700197997241911230e-01
2.380797656041520882e-01,-1.263216736001813167e-01,6.700457917533372276e-01
2.381601600252029605e-01,-1.243811296164159391e-01,6.700717556280395559e-01
2.382412290081785400e-01,-1.224407225533909738e-01,6.700976916767956704e-01
2.383229679191027905e-01,-1.205004511513911303e-01,6.701236002281029114e-01
2.384053721239996204e-01,-1.185603141507012154e-01,6.701494816104591745e-01
2.384884369888928823e-01,-1.166203102916058970e-01,6.701753361523610231e-01
2.385721578798064291e-01,-1.146804383143900374e-01,6.702011641823064636e-01
2.386565301627644464e-01,-1.127406969593384156e-01,6.702269660287929476e-01
2.387415492037905651e-01,-1.108010849667357134e-01,6.702527420203175934e-01
2.388272103689089154e-01,-1.088616010768667652e-01,6.702784924853782966e-01
2.389135090241432946e-01,-1.069222440300162946e-01,6.703042177524721756e-01
2.390004405355176664e-01,-1.049830125664690805e-01,6.703299181500965709e-01
2.390880002690559392e-01,-1.030439054265099574e-01,6.703555940067493779e-01
2.391761835907819655e-01,-1.011049213504236488e-01,6.703812456509277151e-01
2.392649858667197926e-01,-9.916605907849483648e-02,6.704068734111288119e-01
2.393544024628932176e-01,-9.722731735100838268e-02,6.704324776158505639e-01
2.394444287453262321e-01,-9.528869490824905253e-02,6.704580585935905335e-01
2.395350600800427165e-01,-9.335019049050162498e-02,6.704836166728456170e-01
2.396262918330666347e-01,-9.141180283805076801e-02,6.705091521821132661e-01
2.397181193704218394e-01,-8.947353069118127444e-02,6.705346654498911541e-01
2.398105380581322665e-01,-8.753537279017800654e-02,6.705601568046767325e-01
2.399035432622218522e-01,-8.559732787532568776e-02,6.705856265749675638e-01
2.399971303487145324e-01,-8.365939468690906933e-02,6.706110750892608774e-01
2.400912946836341599e-01,-8.172157196521291633e-02,6.706365026760541248e-01
2.401860316330047540e-01,-7.978385845052196612e-02,6.706619096638446464e-01
2.402813365628501674e-01,-7.784625288312105318e-02,6.706872963811302268e-01
2.403772048391943084e-01,-7.590875400329494260e-02,6.707126631564083175e-01
2.404736318280610852e-01,-7.397136055132828847e-02,6.707380103181758146e-01
2.405706128954744338e-01,-7.203407126750596690e-02,6.707633381949305029e-01
2.406681434074582904e-01,-7.009688489211271523e-02,6.707886471151699448e-01
2.407662187300365908e-01,-6.815980016543335407e-02,6.708139374073912586e-01
2.408648342292331879e-01,-6.622281582775257913e-02,6.708392094000923400e-01
2.409639852710720731e-01,-6.428593061935514164e-02,6.708644634217701963e-01
2.410636672215770160e-01,-6.234914328052584831e-02,6.708896998009223900e-01
2.411638754467721468e-01,-6.041245255154947119e-02,6.709149188660464835e-01
2.412646053126812906e-01,-5.847585717271076844e-02,6.709401209456399284e-01
2.413658521853282446e-01,-5.653935588429448433e-02,6.709653063681998431e-01
2.414676114307370836e-01,-5.460294742658541867e-02,6.709904754622240119e-01
2.415698784149317435e-01,-5.266663053986832960e-02,6.710156285562098866e-01
2.416726485039359940e-01,-5.073040396442794753e-02,6.710407659786545853e-01
2.417759170637739374e-01,-4.879426644054912776e-02,6.710658880580558927e-01
2.418796794604692324e-01,-4.685821670851653825e-02,6.710909951229109272e-01
2.419839310600459814e-01,-4.492225350861499267e-02,6.711160875017173622e-01
2.420886672285282037e-01,-4.298637558112930468e-02,6.711411655229726492e-01
2.421938833319395301e-01,-4.105058166634415612e-02,6.711662295151742397e-01
2.422995747363041463e-01,-3.911487050454433984e-02,6.711912798068193631e-01
2.424057368076457664e-01,-3.717924083601461399e-02,6.712163167264053598e-01
2.425123649119884650e-01,-3.524369140103980613e-02,6.712413406024302365e-01
2.426194544153561228e-01,-3.330822093990463278e-02,6.712663517633912225e-01
2.427270006837725091e-01,-3.137282819289385211e-02,6.712913505377853252e-01
2.428349990832617822e-01,-2.943751190029220144e-02,6.713163372541102181e-01
2.429434449798476559e-01,-2.750227080238451527e-02,6.713413122408634637e-01
2.430523337395541494e-01,-2.556710363945560033e-02,6.713662758265426245e-01
2.431616607284052822e-01,-2.363200915179011763e-02,6.713912283396450409e-01
2.432714213124246294e-01,-2.169698607967287390e-02,6.714161701086678313e-01
2.433816108576364601e-01,-1.976203316338862731e-02,6.714411014621086693e-01
2.434922247300644882e-01,-1.782714914322220193e-02,6.714660227284652283e-01
2.436032582957328163e-01,-1.589233275945829693e-02,6.714909342362347378e-01
2.437147069206652139e-01,-1.395758275238169824e-02,6.715158363139144271e-01
2.438265659708855337e-01,-1.202289786227714666e-02,6.715407292900018588e-01
2.439388308124179339e-01,-1.008827682942950443e-02,6.715656134929949284e-01
2.440514968112861283e-01,-8.153718394123401353e-03,6.715904892513905322e-01
2.441645593335141085e-01,-6.219221296643734354e-03,6.716153568936862328e-01
2.442780137451257272e-01,-4.284784277275171388e-03,6.716402167483794816e-01
2.443918554121450037e-01,-2.350406076302508779e-03,6.716650691439676191e-01
2.445060797005958186e-01,-4.160854340105706040e-04,6.716899144089484297e-01
2.446206819765021079e-01,1.518178909315933550e-03,6.717147528718192540e-01
2.447356576058876687e-01,3.452388213392235117e-03,6.717395848610770992e-01
2.448510019547765482e-01,5.386543737933579407e-03,6.717644107052199720e-01
2.449667103891926823e-01,7.320646742655145811e-03,6.717892307327448798e-01
2.450827782751598960e-01,9.254698487272190049e-03,6.718140452721498290e-01
2.451992009787021809e-01,1.118870023150000947e-02,6.718388546519317162e-01
2.453159738658433064e-01,1.312265323505376613e-02,6.718636592005878816e-01
2.454330923026074029e-01,1.505655875764867063e-02,6.718884592466162209e-01
2.455505500171119293e-01,1.699041805900004809e-02,6.719132551185138524e-01
2.456683331102607892e-01,1.892423239882301544e-02,6.719380471447784497e-01
2.457864254645255042e-01,2.085800303683293944e-02,6.719628356539074643e-01
2.459048109621298772e-01,2.279173123274497170e-02,6.719876209743980144e-01
2.460234734852976834e-01,2.472541824627430551e-02,6.720124034347478847e-01
2.461423969162525593e-01,2.665906533713627291e-02,6.720371833634541936e-01
2.462615651372182524e-01,2.859267376504602554e-02,6.720619610890148365e-01
2.463809620304184822e-01,3.052624478971886074e-02,6.720867369399267099e-01
2.465005714780770241e-01,3.245977967086994403e-02,6.721115112446878204e-01
2.466203773624175699e-01,3.439327966821460053e-02,6.721362843317950642e-01
2.467403635656637562e-01,3.632674604146794717e-02,6.721610565297463369e-01
2.468605139700394691e-01,3.826018005034534375e-02,6.721858281670388680e-01
2.469808124577683450e-01,4.019358295456189334e-02,6.722105995721697758e-01
2.471012429110741315e-01,4.212695601383294880e-02,6.722353710736370669e-01
2.472217892121805483e-01,4.406030048787368258e-02,6.722601429999380818e-01
2.473424352433112872e-01,4.599361763639929490e-02,6.722849156795700498e-01
2.474631648866901235e-01,4.792690871912510392e-02,6.723096894410303115e-01
2.475839620245407768e-01,4.986017499576624740e-02,6.723344646128166513e-01
2.477048105390869115e-01,5.179341772603805044e-02,6.723592415234261876e-01
2.478256943125523581e-01,5.372663816965565775e-02,6.723840205013564830e-01
2.479465972271608087e-01,5.565983758633440137e-02,6.724088018751052109e-01
2.480675031651358442e-01,5.759301723578941212e-02,6.724335859731694898e-01
2.481883960087014618e-01,5.952617837773602205e-02,6.724583731240467710e-01
2.483092596400811314e-01,6.145932227188936198e-02,6.724831636562347281e-01
2.484300779414987115e-01,6.339245017796478476e-02,6.725079578982307016e-01
2.485508347951778940e-01,6.532556335567743511e-02,6.725327561785320318e-01
2.486715140833423987e-01,6.725866306474252709e-02,6.725575588256361703e-01
2.487920996882160007e-01,6.919175056487537889e-02,6.725823661680406795e-01
2.489125754920223366e-01,7.112482711579114214e-02,6.726071785342430109e-01
2.490329253769852647e-01,7.305789397720510725e-02,6.726319962527405050e-01
2.491531332253282827e-01,7.499095240883245361e-02,6.726568196520305021e-01
2.492731829192753601e-01,7.692400367038851328e-02,6.726816490606105647e-01
2.493930583410501334e-01,7.885704902158841012e-02,6.727064848069782554e-01
2.495127433728762667e-01,8.079008972214743456e-02,6.727313272196308036e-01
2.496322218969776463e-01,8.272312703178083537e-02,6.727561766270658827e-01
2.497514777955777421e-01,8.465616221020375032e-02,6.727810333577806112e-01
2.498704949509004958e-01,8.658919651713153920e-02,6.728058977402727736e-01
2.499892572451695716e-01,8.852223121227929814e-02,6.728307701030393773e-01
2.501077485606086337e-01,9.045526755536242858e-02,6.728556507745783177e-01
2.502259527794415406e-01,9.238830680609597112e-02,6.728805400833868244e-01
2.503438537838918454e-01,9.432135022419535497e-02,6.729054383579624599e-01
2.504614354561834344e-01,9.625439906937566237e-02,6.729303459268024534e-01
2.505786816785398607e-01,9.818745460135222536e-02,6.729552631184043676e-01
2.506955763331851217e-01,1.001205180798401678e-01,6.729801902612655429e-01
2.508121033023426594e-01,1.020535907645548357e-01,6.730051276838835417e-01
2.509282464682363600e-01,1.039866739152114639e-01,6.730300757147558155e-01
2.510439897130898323e-01,1.059197687915251485e-01,6.730550346823798158e-01
2.511593169191269626e-01,1.078528766532112770e-01,6.730800049152528830e-01
2.512742119685713038e-01,1.097859987599849596e-01,6.731049867418724686e-01
2.513886587436467424e-01,1.117191363715615143e-01,6.731299804907360240e-01
2.515026411265768314e-01,1.136522907476561067e-01,6.731549864903410008e-01
2.516161429995854015e-01,1.155854631479840966e-01,6.731800050691849613e-01
2.517291482448962836e-01,1.175186548322605384e-01,6.732050365557651350e-01
2.518416407447329752e-01,1.194518670602008198e-01,6.732300812785789734e-01
2.519536043813193071e-01,1.213851010915200646e-01,6.732551395661241500e-01
2.520650230368791100e-01,1.233183581859336048e-01,6.732802117468978942e-01
2.521758805936358816e-01,1.252516396031566059e-01,6.733052981493976574e-01
2.522861609338135636e-01,1.271849466029043030e-01,6.733303991021208912e-01
2.523958479396357646e-01,1.291182804448919863e-01,6.733555149335652690e-01
2.525049254933262599e-01,1.310516423888347659e-01,6.733806459722277982e-01
2.526133774771087692e-01,1.329850336944480016e-01,6.734057925466063743e-01
2.527211877732069567e-01,1.349184556214468311e-01,6.734309549851980048e-01
2.528283402638445976e-01,1.368519094295466143e-01,6.734561336165005851e-01
2.529348188312453560e-01,1.387853963784624334e-01,6.734813287690111228e-01
2.530406073576331183e-01,1.407189177279096204e-01,6.735065407712272911e-01
2.531456897252314375e-01,1.426524747376033686e-01,6.735317699516465417e-01
2.532500498162641445e-01,1.445860686672589823e-01,6.735570166387663260e-01
2.533536715129549033e-01,1.465197007765916271e-01,6.735822811610838734e-01
2.534565386975274892e-01,1.484533723253164961e-01,6.736075638470968574e-01
2.535586352522056219e-01,1.503870845731489214e-01,6.736328650253026185e-01
2.536599450592129101e-01,1.523208387798040131e-01,6.736581850241984970e-01
2.537604520007732956e-01,1.542546362049971587e-01,6.736835241722821666e-01
2.538601399591102759e-01,1.561884781084434404e-01,6.737088827980508565e-01
2.539589928164477928e-01,1.581223657498582458e-01,6.737342612300023514e-01
2.540569944550093440e-01,1.600563003889566294e-01,6.737596597966335477e-01
2.541541287570188712e-01,1.619902832854540065e-01,6.737850788264423407e-01
2.542503796046999831e-01,1.639243156990654315e-01,6.738105186479257380e-01
2.543457308802763994e-01,1.658583988895063199e-01,6.738359795895817461e-01
2.544401664659718398e-01,1.677925341164918371e-01,6.738614619799074834e-01
2.545336702440101351e-01,1.697267226397370377e-01,6.738869661474002903e-01
2.546262260966149493e-01,1.716609657189574756e-01,6.739124924205577294e-01
2.547178179060099468e-01,1.735952646138680944e-01,6.739380411278772520e-01
2.548084295544189026e-01,1.755296205841843094e-01,6.739636125978563097e-01
2.548980449240655366e-01,1.774640348896212860e-01,6.739892071589922429e-01
2.549866478971735684e-01,1.793985087898943009e-01,6.740148251397828361e-01
2.550742223559667732e-01,1.813330435447184641e-01,6.740404668687248746e-01
2.551607521826687597e-01,1.832676404138092185e-01,6.740661326743164761e-01
2.552462212595035251e-01,1.852023006568815355e-01,6.740918228850545368e-01
2.553306134686944007e-01,1.871370255336509136e-01,6.741175378294369525e-01
2.554139126924653835e-01,1.890718163038324073e-01,6.741432778359608413e-01
2.554961028130400824e-01,1.910066742271413209e-01,6.741690432331238769e-01
2.555771677126423280e-01,1.929416005632928754e-01,6.741948343494232887e-01
2.556570912734957846e-01,1.948765965720022642e-01,6.742206515133566391e-01
2.557358573778241162e-01,1.968116635129847913e-01,6.742464950534214907e-01
2.558134499078512092e-01,1.987468026459555948e-01,6.742723652981148508e-01
2.558898527458006722e-01,2.006820152306300620e-01,6.742982625759346149e-01
2.559650497738961694e-01,2.026173025267232475e-01,6.743241872153780125e-01
2.560390248743615316e-01,2.045526657939505388e-01,6.743501395449426061e-01
2.561117619294204784e-01,2.064881062920270183e-01,6.743761198931256251e-01
2.561832448212967295e-01,2.084236252806680456e-01,6.744021285884246319e-01
2.562534574322139491e-01,2.103592240195888419e-01,6.744281659593371892e-01
2.563223836443959680e-01,2.122949037685045726e-01,6.744542323343605261e-01
2.563900073400664503e-01,2.142306657871305142e-01,6.744803280419922054e-01
2.564563124014490603e-01,2.161665113351818324e-01,6.745064534107296783e-01
2.565212827107675730e-01,2.181024416723738868e-01,6.745326087690701744e-01
2.565849021502458749e-01,2.200384580584217875e-01,6.745587944455115892e-01
2.566471546021074079e-01,2.219745617530408943e-01,6.745850107685509300e-01
2.567080239485760584e-01,2.239107540159462617e-01,6.746112580666856484e-01
2.567674940718755461e-01,2.258470361068533327e-01,6.746375366684135289e-01
2.568255488542295906e-01,2.277834092854772174e-01,6.746638469022315787e-01
2.568821721778619116e-01,2.297198748115331091e-01,6.746901890966376936e-01
2.569373479249962289e-01,2.316564339447363119e-01,6.747165635801288808e-01
2.569910599778562621e-01,2.335930879448020747e-01,6.747429706812029249e-01
2.570432922186657310e-01,2.355298380714456463e-01,6.747694107283570553e-01
2.570940285296483552e-01,2.374666855843821089e-01,6.747958840500889455e-01
2.571432527930278544e-01,2.394036317433269334e-01,6.748223909748956029e-01
2.571909488910280595e-01,2.413406778079951187e-01,6.748489318312749230e-01
2.572371007058725234e-01,2.432778250381020246e-01,6.748755069477241353e-01
2.572816921197851325e-01,2.452150746933628167e-01,6.749021166527404691e-01
2.573247070149895510e-01,2.471524280334928547e-01,6.749287612748218201e-01
2.573661292737094430e-01,2.490898863182073319e-01,6.749554411424655287e-01
2.574059427781686393e-01,2.510274508072213306e-01,6.749821565841686022e-01
2.574441314105907486e-01,2.529651227602502384e-01,6.750089079284289362e-01
2.574806790531995460e-01,2.549029034370092761e-01,6.750356955037438711e-01
